Time,Object,Event
308.30232412904434,Rotterdam,"Warning deactivated in Rotterdam, 55 batteries available"
308.61210367516884,ship.20,Ship has loaded 25 batteries from Rotterdam
308.61210367516884,Rotterdam,Rotterdam has 30 batteries left.
309.05358957978143,ship.5,Ship has loaded 25 batteries from Rotterdam
309.05358957978143,Rotterdam,Rotterdam has 5 batteries left.
309.05358957978143,Rotterdam,"Warning activated in Rotterdam, only 5 batteries left"
309.2145627415093,ship.6,Ship has loaded 25 batteries from Rotterdam
309.2145627415093,Rotterdam,Rotterdam has -20 batteries left.
309.5482913313624,ship.28,loaded 70 containers as cargo in Duisburg
310.00166797036826,ship.8,loaded 68 containers as cargo in Duisburg
310.168990795711,ship.1,loaded 64 containers as cargo in Rotterdam
310.63427411822414,ship.9,Ship has loaded 45 batteries from Duisburg
